Representative Exchange Rates for Selected Currencies		
30-Jul-12		
Last Updated: 17:49:53, US Eastern Standard Time		
Euro	1	1.2246
Japanese Yen		78.37
U.K. Pound Sterling	1	1.5708
U.S. Dollar		1
Algerian Dinar		81.9486
Argentine Peso		---
Australian Dollar	1	1.0464
Bahrain Dinar		0.376
Botswana Pula	1	0.1299
Brazilian Real		2.0173
Brunei Dollar		---
Canadian Dollar		1.0033
Chilean Peso		483.64
Chinese Yuan		6.3303
Colombian Peso		1791.12
Czech Koruna		20.613
Danish Krone		6.0742
Hungarian Forint		229.53
Icelandic Krona		121.54
Indian Rupee		55.44
Indonesian Rupiah		9485
Iranian Rial		12260
Israeli New Sheqel		4.035
Kazakhstani Tenge		149.93
Korean Won		1139.9
Kuwaiti Dinar		0.28155
Libyan Dinar	2	1.9324
Malaysian Ringgit		3.1503
Mauritian Rupee		30.9841
Mexican Peso		13.2644
Nepalese Rupee		88.54
New Zealand Dollar	1	0.8096
Norwegian Krone		6.0608
Rial Omani		0.3845
Pakistani Rupee		94.6358
Nuevo Sol		---
Philippine Peso		41.934
Polish Zloty		3.378
Qatar Riyal		3.64
Russian Ruble		32.1881
Saudi Arabian Riyal		3.75
Singapore Dollar		---
South African Rand		8.1996
Sri Lanka Rupee		131.5886
Swedish Krona		6.8691
Swiss Franc		0.9789
Thai Baht		31.576
Trinidad And Tobago Dollar		6.4173
Tunisian Dinar		---
U.A.E. Dirham		3.6725
Peso Uruguayo		---
Bolivar Fuerte		4.2893
		
Notes:		
These representative exchange rates, which are reported to the Fund by the issuing		
central bank, are expressed in terms of currency units per U.S. dollar, except for		
those indicated by		
1. which are in terms of U.S. dollars per currency unit, and those indicated by.		
2. which are expressed in terms of currency units per SDR.		
